club_short,player_type,name,notes_young,notes_unavail,notes_notam,notes_can
ATL,DESIGNATED PLAYERS,Thiago Almada ,TRUE,FALSE,TRUE,FALSE
ATL,DESIGNATED PLAYERS,Giorgios Giakoumakis,FALSE,FALSE,TRUE,FALSE
ATL,DESIGNATED PLAYERS,Stian Gregersen,FALSE,FALSE,FALSE,FALSE
ATL,U22 INITIATIVE PLAYERS,Franco Ibarra,FALSE,TRUE,FALSE,FALSE
ATL,U22 INITIATIVE PLAYERS,Edwin Mosquera,FALSE,FALSE,FALSE,FALSE
ATL,U22 INITIATIVE PLAYERS,Santiago Sosa,FALSE,TRUE,FALSE,FALSE
ATL,UNAVAILABLE PLAYERS,Erik Centeno,FALSE,FALSE,FALSE,FALSE
ATL,UNAVAILABLE PLAYERS,Franco Ibarra,FALSE,FALSE,FALSE,FALSE
ATL,UNAVAILABLE PLAYERS,Aiden McFadden,FALSE,FALSE,FALSE,FALSE
ATL,UNAVAILABLE PLAYERS,Santiago Sosa,FALSE,FALSE,FALSE,FALSE
ATX,INTERNATIONAL SLOT,Guilherme Biro,FALSE,FALSE,FALSE,FALSE
ATX,INTERNATIONAL SLOT,Moussa Djitté,FALSE,TRUE,FALSE,FALSE
ATX,INTERNATIONAL SLOT,Jáder Obrian,FALSE,FALSE,FALSE,FALSE
ATX,INTERNATIONAL SLOT,Dani Pereira,FALSE,FALSE,FALSE,FALSE
ATX,INTERNATIONAL SLOT,Emiliano Rigoni,FALSE,FALSE,FALSE,FALSE
ATX,INTERNATIONAL SLOT,Leo Väisänen,FALSE,FALSE,FALSE,FALSE
ATX,DESIGNATED PLAYERS,Sebastián Driussi,FALSE,FALSE,TRUE,FALSE
ATX,DESIGNATED PLAYERS,Emiliano Rigoni,FALSE,FALSE,TRUE,FALSE
ATX,DESIGNATED PLAYERS,Alex Ring,FALSE,FALSE,FALSE,FALSE
ATX,U22 INITIATIVE PLAYERS,Moussa Djitté,FALSE,TRUE,FALSE,FALSE
ATX,U22 INITIATIVE PLAYERS,Žan Kolmanič,FALSE,FALSE,FALSE,FALSE
ATX,UNAVAILABLE PLAYERS,Moussa Djitté,FALSE,TRUE,FALSE,FALSE
ATX,UNAVAILABLE PLAYERS,Damian Las,FALSE,FALSE,FALSE,FALSE
CHI,INTERNATIONAL SLOT,Allan Arigoni,FALSE,FALSE,FALSE,FALSE
CHI,INTERNATIONAL SLOT,Hugo Cuypers,FALSE,FALSE,FALSE,FALSE
CHI,INTERNATIONAL SLOT,Rafael Czichos,FALSE,FALSE,FALSE,FALSE
CHI,INTERNATIONAL SLOT,Maren Haile-Selassie,FALSE,FALSE,FALSE,FALSE
CHI,INTERNATIONAL SLOT,Georgios Koutsias,FALSE,FALSE,FALSE,FALSE
CHI,INTERNATIONAL SLOT,Tobias Salquist,FALSE,FALSE,FALSE,FALSE
CHI,INTERNATIONAL SLOT,Xherdan Shaqiri,FALSE,FALSE,FALSE,FALSE
CHI,INTERNATIONAL SLOT,Laurence Wootton,FALSE,TRUE,FALSE,FALSE
CHI,INTERNATIONAL SLOT,Federico Navarro,FALSE,FALSE,FALSE,FALSE
CHI,DESIGNATED PLAYERS,Hugo Cuypers,FALSE,FALSE,TRUE,FALSE
CHI,DESIGNATED PLAYERS,Gastón Giménez,FALSE,FALSE,FALSE,FALSE
CHI,DESIGNATED PLAYERS,Xherdan Shaqiri,FALSE,FALSE,TRUE,FALSE
CHI,U22 INITIATIVE PLAYERS,Brian Gutiérrez,FALSE,FALSE,FALSE,FALSE
CHI,U22 INITIATIVE PLAYERS,Georgios Koutsias,FALSE,FALSE,FALSE,FALSE
CHI,U22 INITIATIVE PLAYERS,Federico Navarro,FALSE,FALSE,FALSE,FALSE
CHI,UNAVAILABLE PLAYERS,Victor Bezerra,FALSE,FALSE,FALSE,FALSE
