File Name,,SLOTS (8),Validation Link
atx.pdf,3,Jáder Obrian,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a3cdcaafd8c5f906_8294f9a3a7ae3c59&schid=8006&row=3&page=0
atx.pdf,4,Dani Pereira,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a3cdcaafd8c5f906_8294f9a3a7ae3c59&schid=8006&row=4&page=0
atx.pdf,5,Emiliano Rigoni,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a3cdcaafd8c5f906_8294f9a3a7ae3c59&schid=8006&row=5&page=0
atx.pdf,6,Leo Väisänen,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a3cdcaafd8c5f906_8294f9a3a7ae3c59&schid=8006&row=6&page=0
atx.pdf,7,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a3cdcaafd8c5f906_8294f9a3a7ae3c59&schid=8006&row=7&page=0
atx.pdf,8,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a3cdcaafd8c5f906_8294f9a3a7ae3c59&schid=8006&row=8&page=0
atx.pdf,,DESIGNATED PLAYERS,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a3cdcaafd8c5f906_8294f9a3a7ae3c59&schid=8006&row=9&page=0
atx.pdf,NO.,NAME,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a3cdcaafd8c5f906_8294f9a3a7ae3c59&schid=8006&row=10&page=0
atx.pdf,1,Sebastián Driussi^,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a3cdcaafd8c5f906_8294f9a3a7ae3c59&schid=8006&row=11&page=0
atx.pdf,2,Emiliano Rigoni^,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a3cdcaafd8c5f906_8294f9a3a7ae3c59&schid=8006&row=12&page=0
atx.pdf,3,Alex Ring,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a3cdcaafd8c5f906_8294f9a3a7ae3c59&schid=8006&row=13&page=0
atx.pdf,U22,INITIATIVE PLAYERS,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a3cdcaafd8c5f906_8294f9a3a7ae3c59&schid=8006&row=14&page=0
atx.pdf,NO.,NAME,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a3cdcaafd8c5f906_8294f9a3a7ae3c59&schid=8006&row=15&page=0
atx.pdf,1,Moussa Djitté*,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a3cdcaafd8c5f906_8294f9a3a7ae3c59&schid=8006&row=16&page=0
atx.pdf,2,Žan Kolmanič,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a3cdcaafd8c5f906_8294f9a3a7ae3c59&schid=8006&row=17&page=0
atx.pdf,3,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a3cdcaafd8c5f906_8294f9a3a7ae3c59&schid=8006&row=18&page=0
atx.pdf,,UNAVAILABLE PLAYERS,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a3cdcaafd8c5f906_8294f9a3a7ae3c59&schid=8006&row=19&page=0
atx.pdf,NO.,NAME,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a3cdcaafd8c5f906_8294f9a3a7ae3c59&schid=8006&row=20&page=0
atx.pdf,1,Moussa Djitté*,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a3cdcaafd8c5f906_8294f9a3a7ae3c59&schid=8006&row=21&page=0
atx.pdf,2,Damian Las,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=a3cdcaafd8c5f906_8294f9a3a7ae3c59&schid=8006&row=22&page=0
chi.pdf,,INTERNATIONAL SLOTS (8),https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=0&page=0
chi.pdf,NO.,NAME,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=1&page=0
chi.pdf,1,Allan Arigoni,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=2&page=0
chi.pdf,2,Hugo Cuypers,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=3&page=0
chi.pdf,3,Rafael Czichos,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=4&page=0
chi.pdf,4,Maren Haile-Selassie,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=5&page=0
chi.pdf,5,Georgios Koutsias,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=6&page=0
chi.pdf,6,Tobias Salquist,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=7&page=0
chi.pdf,7,Xherdan Shaqiri,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=8&page=0
chi.pdf,8,Laurence Wootton*,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=9&page=0
chi.pdf,9,Federico Navarro,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=10&page=0
chi.pdf,,DESIGNATED PLAYERS,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=11&page=0
chi.pdf,NO.,NAME,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=12&page=0
